"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.925197900E-2,-6.340979785E-2,2.985046208E-1,9.561120987E0,9.565989773E0
4.174541700E-2,-6.340979785E-2,2.841476798E-1,9.474979401E0,9.479451216E0
4.423885400E-2,-1.639083475E-1,3.032902777E-1,9.398408890E0,9.404729693E0
4.673229200E-2,-1.830509305E-1,3.032902777E-1,9.297910690E0,9.304656675E0
4.922572900E-2,-1.591227055E-1,3.415754437E-1,9.340981483E0,9.348578977E0
5.172427100E-2,-1.447657645E-1,2.937189937E-1,9.374481201E0,9.380198599E0
5.422281300E-2,-1.591227055E-1,3.080759048E-1,9.398408890E0,9.404803053E0
5.672140600E-2,-1.734796464E-1,3.224328458E-1,9.441479683E0,9.448576439E0
5.921994800E-2,-9.690931439E-2,2.937189937E-1,9.580264091E0,9.585255465E0
6.171854200E-2,-1.112662554E-1,2.650051117E-1,9.656833649E0,9.661109874E0
6.421708400E-2,-3.948157281E-2,3.032902777E-1,9.805189133E0,9.809958089E0
6.671567700E-2,-3.469592705E-2,2.650051117E-1,9.920044899E0,9.923644608E0
6.921421900E-2,-4.426721856E-2,2.362912297E-1,1.001097202E1,1.001385810E1
7.170953100E-2,-1.555334684E-2,2.554338276E-1,1.013599682E1,1.013922679E1
7.420489600E-2,1.316052489E-2,2.650051117E-1,1.019342422E1,1.019687689E1
7.670020900E-2,-5.982056726E-3,2.315055877E-1,1.021735287E1,1.021997702E1
7.920677100E-2,8.374879137E-3,2.123630047E-1,1.025563812E1,1.025784000E1
8.171338600E-2,6.101697683E-2,2.554338276E-1,1.035135078E1,1.035468167E1
8.420322900E-2,2.751746029E-2,2.745763958E-1,1.034177971E1,1.034546069E1
8.667099000E-2,4.187439755E-2,2.554338276E-1,1.030827999E1,1.031152929E1
8.913875000E-2,2.751746029E-2,2.315055877E-1,1.030827999E1,1.031091598E1
9.162859400E-2,1.794617064E-2,2.410768867E-1,1.027478027E1,1.027762374E1
9.411843800E-2,-1.076770201E-2,2.315055877E-1,1.018863869E1,1.019127416E1
9.660822900E-2,-1.555334684E-2,2.458625287E-1,1.014556789E1,1.014855843E1
9.909807300E-2,-1.196411322E-3,2.650051117E-1,1.007797050E1,1.008145419E1
1.015878650E-1,-1.076770201E-2,2.362912297E-1,1.001097202E1,1.001376604E1
1.040804690E-1,-4.905286431E-2,2.315055877E-1,9.943972588E0,9.946788016E0
1.065798440E-1,-7.776673883E-2,2.650051117E-1,9.881759644E0,9.885618293E0
1.090791670E-1,-5.383851007E-2,3.080759048E-1,9.790832520E0,9.795826191E0
1.115717710E-1,-1.064806059E-1,2.937189937E-1,9.723833084E0,9.728850848E0
1.140643230E-1,-9.690931439E-2,2.841476798E-1,9.709476471E0,9.714116772E0
1.165568750E-1,-7.298108935E-2,2.650051117E-1,9.675976753E0,9.679880169E0
1.190494790E-1,-8.255238086E-2,2.889333367E-1,9.719047546E0,9.723691818E0
1.215420310E-1,-1.112662554E-1,2.937189937E-1,9.695118904E0,9.700205235E0
1.240353130E-1,-1.064806059E-1,2.985046208E-1,9.742975235E0,9.748128516E0
1.265303130E-1,-8.255238086E-2,2.697907388E-1,9.766903877E0,9.770978113E0
1.290252610E-1,-8.733802289E-2,2.458625287E-1,9.762118340E0,9.765604476E0
1.315185420E-1,-3.948157281E-2,2.793620527E-1,9.857831001E0,9.861867673E0
1.340118230E-1,-4.426721856E-2,2.889333367E-1,9.896116257E0,9.900432265E0
1.365050520E-1,-2.512463741E-2,2.410768867E-1,9.929615974E0,9.932573821E0
1.389983340E-1,-1.555334684E-2,2.793620527E-1,9.991828918E0,9.995745605E0
1.414916150E-1,2.273181453E-2,2.745763958E-1,1.008275604E1,1.008651963E1
1.439848960E-1,-1.076770201E-2,2.506481707E-1,1.011147022E1,1.011458207E1
1.464783860E-1,-1.196411322E-3,2.506481707E-1,1.010189915E1,1.010500828E1
1.489731770E-1,1.316052489E-2,2.697907388E-1,1.015513897E1,1.015873062E1
1.514666670E-1,1.316052489E-2,2.458625287E-1,1.016471100E1,1.016769252E1
1.539601560E-1,8.374879137E-3,2.267199457E-1,1.013121128E1,1.013375123E1
1.564535940E-1,-2.512463741E-2,2.410768867E-1,1.011147022E1,1.011437489E1
1.589470840E-1,-1.076770201E-2,2.123630047E-1,1.012582684E1,1.012805920E1
1.614406250E-1,-1.196411322E-3,2.362912297E-1,1.009232807E1,1.009509390E1
1.639341150E-1,8.374879137E-3,2.458625287E-1,1.007318497E1,1.007618846E1
1.664276040E-1,-2.512463741E-2,2.697907388E-1,1.001575756E1,1.001942203E1
1.689211460E-1,-1.196411322E-3,2.650051117E-1,9.977472305E0,9.980991070E0
1.714146360E-1,-7.298108935E-2,2.458625287E-1,9.929615974E0,9.932927465E0
1.739081250E-1,-7.298108935E-2,2.985046208E-1,9.881759644E0,9.886536547E0
1.764015630E-1,-4.426721856E-2,2.650051117E-1,9.872187614E0,9.875843032E0
1.788950520E-1,-7.298108935E-2,2.793620527E-1,9.833903313E0,9.838141276E0
1.813885420E-1,-4.426721856E-2,2.362912297E-1,9.833903313E0,9.836841337E0
1.838820310E-1,-4.426721856E-2,3.032902777E-1,9.819545746E0,9.824328131E0
1.863738540E-1,-2.512463741E-2,2.650051117E-1,9.843474388E0,9.847073016E0
1.888566670E-1,-7.298108935E-2,3.032902777E-1,9.843474388E0,9.848416079E0
1.913484900E-1,-6.340979785E-2,2.697907388E-1,9.838688850E0,9.842591434E0
1.938403650E-1,-5.862415582E-2,2.745763958E-1,9.862616539E0,9.866612082E0
1.963321880E-1,-6.340979785E-2,2.745763958E-1,9.872187614E0,9.876208852E0
1.988240110E-1,-5.383851007E-2,2.697907388E-1,9.943972588E0,9.947777463E0
2.013158860E-1,-6.340979785E-2,2.362912297E-1,9.958329201E0,9.961333988E0
2.038077090E-1,-2.033899166E-2,2.315055877E-1,9.982257843E0,9.984962702E0
2.063052610E-1,-3.948157281E-2,2.889333367E-1,9.982257843E0,9.986516555E0
2.088339590E-1,-4.426721856E-2,3.032902777E-1,9.987043381E0,9.991745597E0
2.113315110E-1,-4.905286431E-2,2.650051117E-1,1.000139999E1,1.000503052E1
2.138290630E-1,-2.991028316E-2,2.410768867E-1,9.982257843E0,9.985213284E0
2.163265630E-1,1.316052489E-2,2.793620527E-1,1.002054310E1,1.002444514E1
2.188241150E-1,-1.555334684E-2,2.410768867E-1,9.977472305E0,9.980396464E0
2.213216670E-1,-4.905286431E-2,2.267199457E-1,9.996614456E0,9.999305411E0
2.238192190E-1,-1.076770201E-2,2.841476798E-1,1.001575756E1,1.001979318E1
2.263128130E-1,-3.469592705E-2,2.889333367E-1,1.001575756E1,1.001998432E1
2.287849480E-1,-5.862415582E-2,2.315055877E-1,1.002054310E1,1.002338843E1
2.312785420E-1,3.589233849E-3,2.506481707E-1,1.001575756E1,1.001889400E1
2.337721360E-1,-3.469592705E-2,2.745763958E-1,9.943972588E0,9.947823221E0
2.362657290E-1,-6.340979785E-2,2.219343036E-1,9.905687332E0,9.908376111E0
2.387593230E-1,-5.862415582E-2,2.554338276E-1,9.896116257E0,9.899585860E0
2.412529690E-1,-2.033899166E-2,2.841476798E-1,9.867402077E0,9.871513426E0
2.437465630E-1,-3.948157281E-2,2.458625287E-1,9.891330719E0,9.894464643E0
2.462429690E-1,-6.340979785E-2,2.506481707E-1,9.934401512E0,9.937765278E0
2.487468230E-1,-6.340979785E-2,2.745763958E-1,9.896116257E0,9.900127775E0
2.512506250E-1,-6.340979785E-2,2.267199457E-1,9.848259926E0,9.851073358E0
2.537470310E-1,-3.948157281E-2,2.267199457E-1,9.838688850E0,9.841379935E0
2.562434380E-1,-2.512463741E-2,2.506481707E-1,9.867402077E0,9.870616976E0
2.587398440E-1,-2.512463741E-2,2.937189937E-1,9.900901794E0,9.905289417E0
2.612361980E-1,-5.383851007E-2,2.841476798E-1,9.924830437E0,9.929043141E0
2.637325520E-1,-4.426721856E-2,2.554338276E-1,9.881759644E0,9.885159568E0
2.662289590E-1,-5.982056726E-3,2.841476798E-1,9.886545181E0,9.890629470E0
2.687253650E-1,-5.982056726E-3,2.889333367E-1,9.920044899E0,9.924253577E0
2.712217190E-1,-6.340979785E-2,2.697907388E-1,9.963115692E0,9.966969556E0
2.737153650E-1,-2.991028316E-2,2.602194548E-1,9.982257843E0,9.985693788E0
2.761972920E-1,-4.426721856E-2,2.506481707E-1,9.991828918E0,9.995070246E0
2.786792190E-1,-2.512463741E-2,2.602194548E-1,9.991828918E0,9.995248399E0
2.811728650E-1,-4.426721856E-2,2.267199457E-1,9.953543663E0,9.956223831E0
2.836665110E-1,-1.555334684E-2,2.697907388E-1,9.987043381E0,9.990698896E0
2.861601560E-1,-1.555334684E-2,2.315055877E-1,9.987043381E0,9.989738347E0
2.886538540E-1,-6.819544733E-2,2.985046208E-1,9.948758125E0,9.953468936E0
2.911475000E-1,-5.982056726E-3,2.506481707E-1,9.939187050E0,9.942348792E0
2.936419270E-1,-2.033899166E-2,2.458625287E-1,9.963115692E0,9.966169593E0
2.961384900E-1,-3.948157281E-2,2.650051117E-1,9.982257843E0,9.985852900E0
2.986350000E-1,-4.905286431E-2,2.315055877E-1,9.967901230E0,9.970709902E0
3.011294270E-1,-4.905286431E-2,2.745763958E-1,9.915258408E0,9.919180796E0
3.036238540E-1,-2.033899166E-2,2.745763958E-1,9.900901794E0,9.904729285E0
3.061182810E-1,-2.512463741E-2,2.602194548E-1,9.967901230E0,9.971328915E0
3.086127610E-1,-3.948157281E-2,2.410768867E-1,9.982257843E0,9.985246542E0
3.111071880E-1,8.374879137E-3,2.650051117E-1,9.881759644E0,9.885315954E0
3.136016670E-1,1.316052489E-2,2.506481707E-1,9.910472870E0,9.913650700E0
3.160963020E-1,-3.469592705E-2,2.889333367E-1,1.003011417E1,1.003433489E1
3.185909380E-1,-7.776673883E-2,2.171486616E-1,1.000139999E1,1.000405933E1
3.210854170E-1,-2.991028316E-2,2.697907388E-1,9.838688850E0,9.842432624E0
3.235798440E-1,-1.555334684E-2,2.554338276E-1,9.824331284E0,9.827663686E0
3.260743230E-1,-4.426721856E-2,2.506481707E-1,9.910472870E0,9.913740797E0
3.285688540E-1,-2.512463741E-2,2.602194548E-1,9.948758125E0,9.952192404E0
